Codigo Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month
CYP;3;35;1978;3706;10;2020;2020-10
CZE;1842;2469;193514;258132;10;2020;2020-10
DEU;845;10409;159007;446216;10;2020;2020-10
DNK;53;311;14603;42193;10;2020;2020-10
ESP;4340;38331;369837;1154647;10;2020;2020-10
EST;9;147;1153;9667;10;2020;2020-10
FIN;22;377;5174;14643;10;2020;2020-10
FRA;4590;26653;653365;1206129;10;2020;2020-10
FRO;0;0;30;490;10;2020;2020-10
GBR;3591;45863;474744;933446;10;2020;2020-10
GEO;187;215;24751;30303;10;2020;2020-10
GGY;0;13;9;265;10;2020;2020-10
GIB;0;0;288;667;10;2020;2020-10
GRC;197;584;14511;32706;10;2020;2020-10
HRV;165;437;20183;36373;10;2020;2020-10
HUN;762;1521;36849;61560;10;2020;2020-10
IMN;0;24;8;348;10;2020;2020-10
IRL;94;1640;22507;57851;10;2020;2020-10
ISL;2;12;1853;4526;10;2020;2020-10
ITA;2177;38480;274205;588459;10;2020;2020-10
JEY;0;32;130;530;10;2020;2020-10
LIE;0;1;284;401;10;2020;2020-10
LTU;99;199;6460;9770;10;2020;2020-10
LUX;18;126;5869;13946;10;2020;2020-10
LVA;24;60;3002;4678;10;2020;2020-10
MCO;0;1;96;306;10;2020;2020-10
MDA;398;1685;20628;71503;10;2020;2020-10
MKD;194;919;9325;26954;10;2020;2020-10
MLT;20;51;2519;5495;10;2020;2020-10
MNE;108;266;6484;16797;10;2020;2020-10
NLD;907;7372;179019;290405;10;2020;2020-10
NOR;9;279;4528;18355;10;2020;2020-10
POL;2006;4437;166358;253688;10;2020;2020-10
PRT;393;2356;43433;118620;10;2020;2020-10
ROU;2028;6968;92405;218437;10;2020;2020-10
RUS;5726;26050;362439;1513877;10;2020;2020-10
SMR;0;42;92;819;10;2020;2020-10
SRB;45;792;6102;39486;10;2020;2020-10
SVK;323;421;36023;45376;10;2020;2020-10
SVN;134;287;18723;24113;10;2020;2020-10
SWE;98;5935;22695;114855;10;2020;2020-10
TUR;1802;9799;235808;967501;10;2020;2020-10
UKR;2432;6391;144855;343489;10;2020;2020-10
VAT;0;0;14;26;10;2020;2020-10
XKX;41;663;2471;17943;10;2020;2020-10
ALB;321;798;18468;37625;11;2020;2020-11
AND;7;76;2674;6712;11;2020;2020-11
ARM;968;2164;56314;135124;11;2020;2020-11
AUT;2548;3603;196155;280899;11;2020;2020-11
AZE;690;1361;68236;118195;11;2020;2020-11
BEL;5844;16739;226130;580009;11;2020;2020-11
BGR;2665;3749;104185;141747;11;2020;2020-11
BIH;1534;2620;46381;87274;11;2020;2020-11
BLR;194;1151;42185;135008;11;2020;2020-11
CHE;2360;4236;213694;317017;11;2020;2020-11
CYP;36;71;7085;10791;11;2020;2020-11
CZE;6014;8483;261643;519775;11;2020;2020-11
DEU;8734;19143;616148;1062364;11;2020;2020-11
DNK;127;438;28483;70676;11;2020;2020-11
ESP;10533;48864;530759;1685406;11;2020;2020-11
EST;42;189;7861;17528;11;2020;2020-11
FIN;72;449;10101;24744;11;2020;2020-11
FRA;26239;52892;1012250;2218379;11;2020;2020-11
FRO;0;0;12;502;11;2020;2020-11
GBR;14238;60101;728339;1661785;11;2020;2020-11
GEO;1052;1267;105281;135584;11;2020;2020-11
GGY;0;13;21;286;11;2020;2020-11
GIB;5;5;347;1014;11;2020;2020-11
GRC;1863;2447;75507;108213;11;2020;2020-11
HRV;1275;1712;90232;126605;11;2020;2020-11
HUN;3431;4952;155560;217120;11;2020;2020-11
IMN;1;25;21;369;11;2020;2020-11
IRL;215;1855;14588;72439;11;2020;2020-11
ISL;14;26;877;5403;11;2020;2020-11
ITA;21206;59686;1067729;1656188;11;2020;2020-11
JEY;0;32;398;928;11;2020;2020-11
LIE;16;17;865;1266;11;2020;2020-11
LTU;792;991;50377;60147;11;2020;2020-11
LUX;149;275;19551;33497;11;2020;2020-11
LVA;173;233;12297;16975;11;2020;2020-11
MCO;1;2;302;608;11;2020;2020-11
MDA;605;2290;35514;107017;11;2020;2020-11
MKD;812;1731;34589;61543;11;2020;2020-11
MLT;82;133;4254;9749;11;2020;2020-11
MNE;221;487;18084;34881;11;2020;2020-11
NLD;2276;9648;227120;517525;11;2020;2020-11
NOR;49;328;17869;36224;11;2020;2020-11
POL;12589;17026;708644;962332;11;2020;2020-11
PRT;2161;4517;160780;279400;11;2020;2020-11
ROU;6098;13066;262155;480592;11;2020;2020-11
RUS;13477;39527;755439;2269316;11;2020;2020-11
SMR;3;45;767;1586;11;2020;2020-11
SRB;757;1549;129728;169214;11;2020;2020-11
SVK;1422;1843;67344;112720;11;2020;2020-11
SVN;1280;1567;51758;75871;11;2020;2020-11
SWE;1223;7158;142702;257557;11;2020;2020-11
TUR;3759;13558;432928;1400429;11;2020;2020-11
UKR;5822;12213;379190;722679;11;2020;2020-11
VAT;0;0;0;26;11;2020;2020-11
XKX;342;1005;21114;39057;11;2020;2020-11
ALB;395;1193;21813;59438;12;2020;2020-12
AND;8;84;1480;8192;12;2020;2020-12
ARM;700;2864;25096;160220;12;2020;2020-12
AUT;2916;6519;84877;365776;12;2020;2020-12
AZE;1372;2733;102070;220265;12;2020;2020-12
BEL;3009;19748;71426;651435;12;2020;2020-12
BGR;3895;7644;61133;202880;12;2020;2020-12
BIH;1511;4131;25371;112645;12;2020;2020-12
BLR;300;1451;64954;199962;12;2020;2020-12
