 Pais;deaths month;deaths cumulative month;Cases month;cases cumulative month;month;year;year-month;Inflation Rate;inmigracion
Bosnia And Herzegovina;30;183;1696;4206;6;2020;2020-6;;
Bulgaria;148;383;18919;61475;6;2020;2020-6;1.2;
Croatia;25;1681;755;31534;6;2020;2020-6;0.0;
Cyprus;3;29;49;1000;6;2020;2020-6;-1.1;
Czechia;28;346;2347;11650;6;2020;2020-6;3.3;
Denmark;304;9083;12046;194080;6;2020;2020-6;0.3;
Estonia;30;213;1044;13014;6;2020;2020-6;-0.6;
Faroe Islands;583;29754;9964;256611;6;2020;2020-6;;
Finland;2;137;120;7232;6;2020;2020-6;0.4;
France;12;325;228;6868;6;2020;2020-6;0.5;
Georgia;885;19403;13588;160268;6;2020;2020-6;;
Germany;0;0;0;187;6;2020;2020-6;0.4;
Gibraltar;2434;40653;26988;283430;6;2020;2020-6;;
Greece;3;15;143;926;6;2020;2020-6;-1.3;
Guernsey;0;13;0;252;6;2020;2020-6;;
Holy See;0;0;8;177;6;2020;2020-6;;
Hungary;12;191;488;3449;6;2020;2020-6;3.4;
Iceland;4;107;445;2684;6;2020;2020-6;1.2;
Ireland;57;585;258;4145;6;2020;2020-6;-0.5;
Isle Of Man;0;24;0;336;6;2020;2020-6;;
Italy;64;1486;447;25412;6;2020;2020-6;-0.1;
Jersey;0;10;14;1834;6;2020;2020-6;;
Kosovo;1100;35314;7038;240506;6;2020;2020-6;;
Latvia;2;31;11;319;6;2020;2020-6;0.1;
Liechtenstein;0;1;0;82;6;2020;2020-6;;
Lithuania;1;78;140;638;6;2020;2020-6;1.1;
Luxembourg;2;92;182;3136;6;2020;2020-6;0.0;
Malta;5;30;50;1116;6;2020;2020-6;0.8;
Moldova;0;1;3;70;6;2020;2020-6;;
Monaco;235;530;7999;16250;6;2020;2020-6;;
Montenegro;153;286;3866;6092;6;2020;2020-6;;
Netherlands;0;9;52;667;6;2020;2020-6;1.1;
North Macedonia;2;11;157;481;6;2020;2020-6;1.2;
Norway;131;6182;3718;49914;6;2020;2020-6;1.2;
Poland;13;249;419;8857;6;2020;2020-6;3.7;
Portugal;375;1438;10123;33907;6;2020;2020-6;-0.1;
Romania;139;1571;9285;42194;6;2020;2020-6;2.3;
Russia;361;1648;7390;27045;6;2020;2020-6;;
San Marino;4380;9073;228594;634437;6;2020;2020-6;;
Serbia;0;42;27;698;6;2020;2020-6;1.8;
Slovakia;27;270;2634;14046;6;2020;2020-6;2.0;
Slovenia;0;34;149;1648;6;2020;2020-6;-0.3;
Spain;0;113;111;1584;6;2020;2020-6;-0.3;
Sweden;818;5439;27672;66332;6;2020;2020-6;0.7;
Switzerland;557;5097;33297;197239;6;2020;2020-6;-0.8;
Turkey;421;1129;19310;42982;6;2020;2020-6;12.3;
Ukraine;0;0;0;12;6;2020;2020-6;;
United Kingdom;19;49;1594;2677;6;2020;2020-6;0.8;
Albania;83;138;2361;4763;7;2020;2020-7;;
Andorra;0;52;42;897;7;2020;2020-7;;
Armenia;278;711;12263;37390;7;2020;2020-7;;
Austria;11;742;2892;20527;7;2020;2020-7;1.4;
Azerbaijan;219;417;13626;30050;7;2020;2020-7;;
Belarus;67;9636;5215;68898;7;2020;2020-7;;
Belgium;122;338;5687;10312;7;2020;2020-7;0.4;
Bosnia And Herzegovina;104;287;6109;10315;7;2020;2020-7;;
Bulgaria;151;534;5657;67132;7;2020;2020-7;1.2;
Croatia;19;1700;2791;34325;7;2020;2020-7;0.0;
Cyprus;0;29;65;1065;7;2020;2020-7;-1.1;
Czechia;26;372;3712;15362;7;2020;2020-7;3.3;
